contributor,creator,date,identifier,language,title
Columbia University Libraries,,1700-01-01T00:00:00Z,ldpd_14230571_000,ara,[al-Qurʼān]
Columbia University Libraries,"Jazūlī, Muḥammad ibn Sulaymān, -1465",1850-01-01T00:00:00Z,ldpd_13892935_000,ara,Dalāʼil al-khayrāt wa shawāriq al-anwār fī dhikr al-ṣalāh ʻalá al-nabī al-mukhtār
Columbia University Libraries,"ʻInāyat Allāh, -approximately 1671",1700-01-01T00:00:00Z,ldpd_14649864_000,per,Bahār-i dānish
Columbia University Libraries,,1700-01-01T00:00:00Z,ldpd_14230792_000,ara,[al-Qurʼān]
Columbia University Libraries,,1817-01-01T00:00:00Z,ldpd_13604180_000,per,Bīst bāb dar ʻilm-i usṭurlāb
Columbia University Libraries,"Autolycus, active 2nd century",1725-01-01T00:00:00Z,ldpd_13892520_000,ara,Kitāb al-kurah al-mutaḥarrikah : [manuscript]
Columbia University Libraries,,1775-01-01T00:00:00Z,ldpd_13604101_000,ota,[Treatise on composing letters]
Columbia University Libraries,"Jibrīl, Zayn al-Dīn Muḥammad, active 15th century-16th century",1580-01-01T00:00:00Z,ldpd_14642744_000,ara,Kitāb sharḥ al-Jurrūmīyah
Columbia University Libraries,"Qūshjī, ʻAlī ibn Muḥammad, -1474 or 1475",1792-01-01T00:00:00Z,ldpd_14566259_000,per,[Risālah dar hayʼat]
Columbia University Libraries,,1670-01-01T00:00:00Z,ldpd_14294925_003,ara,Kitāb fī sharḥ al-Mulakhkhaṣ ..
Columbia University Libraries,,1670-01-01T00:00:00Z,ldpd_14294925_002,ara,Kitāb fī sharḥ al-Mulakhkhaṣ ..
Columbia University Libraries,,1500-01-01T00:00:00Z,ldpd_13892939_000,ara,Nuskhat al-sijill alladhī wujida muʻallaqan ʻalá al-mashāhid fī ghaybat Mawlānā al-Imām al-Ḥākim ..
Columbia University Libraries,"Ibn ʻAsākir, ʻAlī ibn al-Ḥasan, 1105-1176",1141-01-01T00:00:00Z,ldpd_14734831_000,ara,al-Juzʼ... min kitāb Tārīkh madīnat Dimashq
Columbia University Libraries,"Theodosius, active 1st century B.C",1800-01-01T00:00:00Z,ldpd_14642088_000,ara,Kitāb al-ukar
Columbia University Libraries,,1650-01-01T00:00:00Z,ldpd_13893005_000,ara,[Collection of prayers]
Columbia University Libraries,,1664-01-01T00:00:00Z,ldpd_13604127_000,per,Badāʼiʻ al-funūn
Columbia University Libraries,"Gulāb Rāʼī, Fadwá, active 19th century, artist",1823-01-01T00:00:00Z,ldpd_15147183_000,per,[Calligraphy samples in Persian]
Columbia University Libraries,,1000-01-01T00:00:00Z,ldpd_14642790_000,ara,[Leaf from the Qurʼān]
Columbia University Libraries,"Autolycus, active 2nd century",1830-01-01T00:00:00Z,ldpd_13604167_000,ara,Kitāb al-kurah al-mutaḥarrikah
